Geographic name,Geographic area type,Province and Territory Abbrev,"Population, 2021","Total private dwellings, 2021","Private dwellings occupied by usual residents, 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021"
Canada 2,Country,...,"36,991,981","16,284,235","14,978,941","8,788,702.80",4.2
Newfoundland and Labrador,Province,N.L.,"510,550","269,184","223,253","358,170.37",1.4
Bay Roberts,Small population centre,N.L.,"6,897","3,184","2,888",16.88,408.5
Bishop's Falls,Small population centre,N.L.,"3,006","1,498","1,386",6.89,436.1
Bonavista,Small population centre,N.L.,"2,979","1,628","1,379",4.36,683.1
Botwood,Small population centre,N.L.,"2,741","1,374","1,237",5.54,494.4
Burgeo,Small population centre,N.L.,"1,176",659,570,2.08,566.5
Carbonear,Small population centre,N.L.,"6,235","3,118","2,829",11.16,558.9
Channel-Port aux Basques,Small population centre,N.L.,"3,127","1,644","1,500",5.17,605.2
Clarenville-Shoal Harbour,Small population centre,N.L.,"6,143","2,854","2,573",12.46,493
Corner Brook,Small population centre,N.L.,"19,129","9,451","8,775",21.6,885.4
Deer Lake,Small population centre,N.L.,"4,346","2,066","1,920",8.2,529.8
Gander,Small population centre,N.L.,"9,918","4,604","4,285",13.64,727.2
Grand Bank,Small population centre,N.L.,"2,071","1,136","1,011",2.24,924.7
Grand Falls-Windsor,Small population centre,N.L.,"11,986","5,816","5,372",12.34,971.2
Happy Valley-Goose Bay,Small population centre,N.L.,"6,996","2,936","2,698",10.17,687.9
Labrador City,Small population centre,N.L.,"9,011","4,075","3,720",14.5,621.7
Lewisporte,Small population centre,N.L.,"2,064","1,002",889,2.33,884
Marystown,Small population centre,N.L.,"2,671","1,355","1,219",5.71,468.2
Massey Drive,Small population centre,N.L.,"1,606",670,626,2.45,655.1
Pasadena,Small population centre,N.L.,"2,769","1,268","1,193",3.54,781.9
Placentia,Small population centre,N.L.,"1,338",761,638,2.62,510
Sheshatshiu,Small population centre,N.L.,"1,049",331,299,1.61,653.5
Springdale,Small population centre,N.L.,"2,182","1,081",980,3.76,579.6
St. Anthony,Small population centre,N.L.,"1,986",943,842,4.52,439
St. John's,Large urban population centre,N.L.,"185,565","86,189","79,537",178,"1,042.50"
Stephenville,Small population centre,N.L.,"7,344","3,685","3,488",15.48,474.5
Stephenville Crossing,Small population centre,N.L.,"1,038",517,475,1.4,742.6
Wabana,Small population centre,N.L.,"1,091",700,558,2.53,432
Prince Edward Island,Province,P.E.I.,"154,331","74,934","64,570","5,681.18",27.2
Charlottetown,Medium population centre,P.E.I.,"52,390","24,116","22,617",57.56,910.2
Kensington,Small population centre,P.E.I.,"1,743",865,834,2.74,635.5
Montague,Small population centre,P.E.I.,"1,896",931,850,2.07,916.9
Summerside,Small population centre,P.E.I.,"14,952","6,924","6,643",16.97,881.2
Nova Scotia,Province,N.S.,"969,383","476,007","428,228","52,824.71",18.4
Amherst,Small population centre,N.S.,"9,548","4,866","4,545",12.38,771.5
Antigonish,Small population centre,N.S.,"5,620","3,212","2,664",5.88,955.7
Berwick,Small population centre,N.S.,"2,455","1,087","1,050",4.31,570.1
Bridgewater,Small population centre,N.S.,"8,790","4,493","4,260",13.63,644.9
Brookside,Small population centre,N.S.,"1,439",579,562,2.81,512
Cape Breton - Sydney,Medium population centre,N.S.,"30,960","15,043","14,070",30.91,"1,001.50"
Centreville,Small population centre,N.S.,"1,159",511,500,2.36,490.2
Chester,Small population centre,N.S.,"1,371",840,674,3.23,424.5
