city,abbrev,area_type,pop,pop_density_sq_km,total_dwellings,land_area_sq_km
Bay Roberts,NL,small,6897,408.5,3184,16.88
Bishop's Falls,NL,small,3006,436.1,1498,6.89
Bonavista,NL,small,2979,683.1,1628,4.36
Botwood,NL,small,2741,494.4,1374,5.54
Burgeo,NL,small,1176,566.5,659,2.08
Carbonear,NL,small,6235,558.9,3118,11.16
Channel-Port aux Basques,NL,small,3127,605.2,1644,5.17
Clarenville-Shoal Harbour,NL,small,6143,493.0,2854,12.46
Corner Brook,NL,small,19129,885.4,9451,21.6
Deer Lake,NL,small,4346,529.8,2066,8.2
Gander,NL,small,9918,727.2,4604,13.64
Grand Bank,NL,small,2071,924.7,1136,2.24
Grand Falls-Windsor,NL,small,11986,971.2,5816,12.34
Happy Valley-Goose Bay,NL,small,6996,687.9,2936,10.17
Labrador City,NL,small,9011,621.7,4075,14.5
Lewisporte,NL,small,2064,884.0,1002,2.33
Marystown,NL,small,2671,468.2,1355,5.71
Massey Drive,NL,small,1606,655.1,670,2.45
Pasadena,NL,small,2769,781.9,1268,3.54
Placentia,NL,small,1338,510.0,761,2.62
Sheshatshiu,NL,small,1049,653.5,331,1.61
Springdale,NL,small,2182,579.6,1081,3.76
St. Anthony,NL,small,1986,439.0,943,4.52
St. John's,NL,large urban,185565,1042.5,86189,178.0
Stephenville,NL,small,7344,474.5,3685,15.48
Stephenville Crossing,NL,small,1038,742.6,517,1.4
Wabana,NL,small,1091,432.0,700,2.53
Charlottetown,PEI,medium,52390,910.2,24116,57.56
Kensington,PEI,small,1743,635.5,865,2.74
Montague,PEI,small,1896,916.9,931,2.07
Summerside,PEI,small,14952,881.2,6924,16.97
Amherst,NS,small,9548,771.5,4866,12.38
Antigonish,NS,small,5620,955.7,3212,5.88
Berwick,NS,small,2455,570.1,1087,4.31
Bridgewater,NS,small,8790,644.9,4493,13.63
Brookside,NS,small,1439,512.0,579,2.81
Cape Breton - Sydney,NS,medium,30960,1001.5,15043,30.91
Centreville,NS,small,1159,490.2,511,2.36
Chester,NS,small,1371,424.5,840,3.23
Digby,NS,small,2001,634.0,1133,3.16
Enfield - Lantz,NS,small,6583,563.9,2806,11.67
Eskasoni 3,NS,small,2575,451.7,812,5.7
Glace Bay,NS,small,16915,542.4,8320,31.19
Halifax,NS,large urban,348634,1463.1,162336,238.29
Hantsport,NS,small,1542,532.8,735,2.89
Hayes Subdivision,NS,small,1044,951.3,435,1.1
Howie Centre,NS,small,1106,662.2,501,1.67
Indian Brook 14,NS,small,2332,599.3,965,3.89
Inverness,NS,small,1228,449.9,633,2.73
Kentville,NS,small,14905,532.7,7015,27.98
Kingston - Greenwood,NS,small,7118,413.4,3167,17.22
Lake Echo,NS,small,2365,496.5,1031,4.76
Liverpool,NS,small,2546,708.5,1339,3.59
Lunenburg,NS,small,2405,717.7,1232,3.35
Middleton,NS,small,1429,525.4,738,2.72
New Glasgow,NS,small,19316,647.8,9537,29.82
New Waterford,NS,small,6723,728.3,3414,9.23
Pictou,NS,small,2643,608.0,1377,4.35
Port Hawkesbury,NS,small,2998,599.7,1441,5.0
Port Williams,NS,small,1030,537.7,450,1.92
Shelburne,NS,small,1439,553.1,821,2.6
Springhill,NS,small,2654,548.1,1361,4.84
Still Water Lake,NS,small,3379,410.7,1153,8.23
Sydney Mines,NS,small,12353,682.2,5940,18.11
