city,province,abbrev,area_type,pop,pop_density_sq_km,total_dwellings,land_area_sq_km,median_income,lat,lon,address,price,beds,baths
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,33 queens road,275000,4,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,70 julieann place,767500,4,4
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,5 ruth avenue,159900,3,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,11 parliament street,350000,4,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,84 gil eannes drive,424900,4,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,38 knapps road,579900,3,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,36 dundas street,374900,5,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,11 compton place,514900,4,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,11 mahogany place,409000,3,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,34 smith avenue,289000,3,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,11 harp place,359900,5,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,16 pinware crescent,409900,6,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,51 fagan drive,449900,3,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,329 lanark drive,439900,4,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,109 pennywell road,269900,2,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,54 watson street,159900,3,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,21 murley drive,365999,3,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,11 carlingford street,429900,3,4
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,24 neptune road,312500,6,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,7 frampton avenue,539900,2,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,6 bonavista street,275000,2,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,30 thomas street,359900,4,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,54 macbeth drive,319900,3,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,9 jasper street,424900,4,3
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,111 pennywell road,274900,2,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,19 winthrop place,349900,3,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,81 barachois street,189900,3,2
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,1 anglican cemetery r road,199000,2,1
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,39 bay bulls road,679900,6,4
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,23 cherrybark crescent,599900,5,4
St. John's,Newfoundland and Labrador,NL,large urban,185565,1042.5,86189,178,85000,47.4817,-52.7971,1562 portugal cove road,369900,4,4
